Age,City,Users,New Users,Sessions,Bounce Rate,Pages per Session,AvgSeshDur,Transactions,Revenue,ECR
18-24,not set 18,24,22,26.00,3.85,5.04,116,0,0,0
25-34,not set 25,142,122,186.00,2.15,5.95,219,0,0,0
35-44,not set 35,85,70,130.00,2.31,6.71,232,3,530.52,2.31
45-54,not set 45,54,46,82.00,2.44,5.71,156,0,0,0
55-64,not set 55,42,37,57.00,3.51,6.18,156,0,0,0
65+,not set 65,25,22,39.00,0,2.92,018,0,0,0
25-34,Amsterdam,13,11,14.00,0,9.64,359,0,0,0
25-34,Atlanta,24,18,38.00,0,6.05,214,0,0,0
35-44,Atlanta,11,7,22.00,0,13.36,252,0,0,0
25-34,Austin,61,51,86.00,0,11.69,350,1,599.9,1.16
35-44,Austin,32,23,63.00,1.59,10.52,38,1,524.52,1.59
45-54,Austin,10,10,12.00,0,6.67,041,0,0,0
25-34,Berlin,11,11,13.00,0,10.46,91,0,0,0
25-34,Boston,36,32,47.00,2.13,9.57,220,0,0,0
35-44,Boston,17,11,59.00,3.39,10.63,438,0,0,0
25-34,Calgary,20,15,26.00,0,8.38,244,0,0,0
35-44,Calgary,12,10,21.00,4.76,8.52,259,0,0,0
25-34,Charlotte,10,8,15.00,0,3.6,09,0,0,0
25-34,Chicago,96,79,131.00,1.53,9.63,242,1,249.95,0.76
35-44,Chicago,30,22,44.00,2.27,8.73,332,0,0,0
45-54,Chicago,20,17,45.00,6.67,5.91,157,0,0,0
65+,Chicago,10,9,10.00,0,3,051,0,0,0
25-34,Copenhagen,23,20,27.00,3.7,6.63,344,0,0,0
35-44,Copenhagen,11,11,11.00,0,6.64,337,0,0,0
25-34,Dallas,34,30,55.00,0,8.65,131,0,0,0
35-44,Dallas,15,12,24.00,4.17,12.83,339,0,0,0
45-54,Dallas,11,10,15.00,0,6,132,0,0,0
25-34,Denver,37,32,46.00,0,10.48,211,0,0,0
25-34,Helsinki,13,10,16.00,0,7.12,26,0,0,0
25-34,Houston,28,26,34.00,0,13.5,352,1,288.92,2.94
35-44,Houston,17,16,37.00,0,6.08,147,0,0,0
25-34,Irvine,10,8,17.00,0,12.71,545,0,0,0
25-34,Jersey City,11,8,29.00,3.45,16.48,512,1,435.46,3.45
25-34,London,58,51,71.00,1.41,5.83,232,0,0,0
35-44,London,27,24,38.00,2.63,5.82,117,0,0,0
45-54,London,11,10,14.00,0,7.86,059,0,0,0
18-24,Los Angeles,18,13,32.00,3.12,7.56,152,1,492.63,3.12
25-34,Los Angeles,131,107,203.00,0.49,9.11,412,2,542.72,0.99
35-44,Los Angeles,91,71,155.00,2.58,9.39,317,3,620.97,1.94
45-54,Los Angeles,19,16,37.00,0,17.16,353,2,451.79,5.41
55-64,Los Angeles,18,13,27.00,0,17.11,554,0,0,0
25-34,Melbourne,17,16,27.00,0,9,25,1,249.44,3.7
25-34,Mexico City,10,8,31.00,3.23,5.71,242,0,0,0
25-34,Miami,11,6,13.00,0,7.46,820,1,322.96,7.69
25-34,Minneapolis,25,21,35.00,0,9.31,331,0,0,0
25-34,Montreal,30,28,47.00,0,17.15,58,2,915.14,4.26
35-44,Montreal,18,17,32.00,6.25,11.41,339,0,0,0
45-54,Montreal,10,8,14.00,0,23.43,644,0,0,0
35-44,Nashville,10,10,24.00,0,10.33,412,0,0,0
18-24,New York,89,76,150.00,0.67,10.82,43,3,1027.16,2
25-34,New York,637,539,1052.00,2.95,10.67,326,10,8426.04,0.95
35-44,New York,247,196,397.00,1.76,9.8,37,5,3204.88,1.26
45-54,New York,73,59,128.00,3.12,10.12,317,3,959.71,2.34
55-64,New York,49,38,68.00,1.47,9.13,225,1,74.44,1.47
65+,New York,26,20,35.00,0,9.34,247,1,72.34,2.86
25-34,Oakland,32,26,71.00,1.41,12.28,512,0,0,0
35-44,Oakland,21,18,29.00,3.45,13.72,559,0,0,0
25-34,Oslo Municipality,13,13,17.00,0,5.53,218,0,0,0
25-34,Paris,21,20,23.00,0,9.48,347,0,0,0
25-34,Philadelphia,26,24,39.00,5.13,10.41,338,0,0,0
35-44,Philadelphia,16,12,28.00,0,6.5,321,0,0,0
25-34,Portland,56,44,113.00,2.65,10.43,45,0,0,0
35-44,Portland,21,17,44.00,0,8.84,242,0,0,0
25-34,San Diego,28,17,97.00,3.09,9.86,555,2,1661.38,2.06
35-44,San Diego,14,10,19.00,0,14.11,57,1,732.52,5.26
18-24,San Francisco,17,13,35.00,2.86,9.11,336,0,0,0
25-34,San Francisco,189,149,326.00,2.15,8.62,237,4,600.32,1.23
35-44,San Francisco,96,66,178.00,3.37,10.01,323,1,433.95,0.56
45-54,San Francisco,36,30,55.00,0,7.58,116,0,0,0
25-34,San Jose,16,14,17.00,0,8.47,215,0,0,0
35-44,San Jose,12,10,20.00,5,8.15,110,0,0,0
25-34,Seattle,53,45,70.00,0,8.39,234,0,0,0
35-44,Seattle,32,24,46.00,0,8.7,24,0,0,0
45-54,Seattle,15,10,29.00,3.45,9.69,25,1,292.05,3.45
25-34,Seoul,16,14,23.00,0,6.43,053,0,0,0
25-34,Sydney,13,13,13.00,0,5.38,17,0,0,0
35-44,Sydney,14,14,21.00,0,5.81,128,0,0,0
18-24,Toronto,10,9,15.00,0,9.73,335,0,0,0
25-34,Toronto,106,91,168.00,1.19,9.21,447,1,242.9,0.6
35-44,Toronto,47,40,65.00,4.62,8.77,335,0,0,0
45-54,Toronto,21,17,33.00,0,8.12,226,1,299.75,3.03
25-34,Vancouver,48,38,84.00,1.19,10.54,327,0,0,0
35-44,Vancouver,31,22,44.00,0,11.61,448,0,0,0
45-54,Vancouver,10,8,12.00,0,10.67,547,0,0,0
25-34,Warsaw,12,11,16.00,6.25,5.38,16,0,0,0
25-34,Washington,31,22,45.00,2.22,7.87,254,0,0,0
