Search Query,Clicks,Impressions,CTR,Average Position,Intent,Group,Sub-Group,Search-Group
menu design shop,65,1205,5.39,1.17,#ff4000,Menu,Generic,Shop
menu us,63,121,52.07,1.84,#ff4000,Menu,Generic,Shop
menu furniture,138,3417,4.04,4.32,#ff4000,Menu,Generic,Furniture
menudesignshop,38,288,13.19,1.93,#ff4000,Menu,Generic,Shop
menu design store,13,41,31.71,1,#ff4000,Menu,Generic,Shop
menu lighting,59,1365,4.32,5.44,#ff4000,Menu,Generic,Lighting
menu north america,33,250,13.2,3.64,#ff4000,Menu,Generic,Shop
menu,68,15162,0.45,7.51,#ff4000,Menu,Generic,Shop
menu cage table,9,37,24.32,1.08,#ff4000,Menu,Product,Table
afteroom coat hanger,17,229,7.42,2.2,#ff4000,Product/Designer,Product,Hanger
menu world,26,553,4.7,3.97,#ff4000,Menu,Generic,Shop
menu lantern,8,16,50,1.25,#ff4000,Menu,Product,Lighting
menu bottle grinder,64,1060,6.04,10.37,#ff4000,Menu,Product,Accessories
menu meet bench,17,81,20.99,2.79,#ff4000,Menu,Product,Bench
menu afteroom coat hanger,10,126,7.94,1.65,#ff4000,Menu,Product,Hanger
menu tr bulb,18,219,8.22,3.21,#ff4000,Menu,Product,Lighting
menu co chair,20,211,9.48,3.64,#ff4000,Menu,Product,Chair
menu stick system,21,124,16.94,3.83,#ff4000,Menu,Product,Accessories
menu afteroom stool,10,62,16.13,1.89,#ff4000,Menu,Product,Stool
menu furniture usa,13,103,12.62,2.46,#ff4000,Menu,Generic,Furniture
menu bank pendant,20,141,14.18,3.83,#ff4000,Menu,Product,Lighting
menu plinth,17,168,10.12,3.27,#ff4000,Menu,Product,Designer
menu lamp,26,536,4.85,5.01,#ff4000,Menu,Product,Lighting
menu stool,9,91,9.89,1.79,#ff4000,Menu,Product,Stool
menu coffee table,16,140,11.43,3.38,#ff4000,Menu,Product,Table
menu store,11,184,5.98,2.45,#ff4000,Menu,Generic,Shop
menu scandinavian design,13,203,6.4,3,#ff4000,Menu,Generic,Shop
menu tailor sofa,7,28,25,1.64,#ff4000,Menu,Product,Sofa
norm architects,44,1003,4.39,10.33,#ff4000,Product/Designer,Designer,Designer
menu shelves,7,41,17.07,1.66,#ff4000,Menu,Product,Fixtures
harrison chandelier tribeca,4,4,100,1,#ff4000,Product/Designer,Product,Lighting
menu cast pendant,9,74,12.16,2.28,#ff4000,Menu,Product,Lighting
menu afteroom chair,9,118,7.63,2.33,#ff4000,Menu,Product,Chair
menu coat hanger,5,69,7.25,1.3,#ff4000,Menu,Product,Hanger
theresa arns,14,125,11.2,3.67,#ff4000,Product/Designer,Designer,Designer
menu bathroom,4,33,12.12,1.06,#ff4000,Menu,Generic,Bath
menuworld,24,638,3.76,6.38,#ff4000,Menu,Generic,Shop
menu sofa,10,258,3.88,2.68,#ff4000,Menu,Product,Sofa
menu co lounge chair,17,137,12.41,4.78,#ff4000,Menu,Product,Chair
menu norm architects,12,73,16.44,3.47,#ff4000,Menu,Designer,Designer
menu design lighting,10,26,38.46,2.92,#ff4000,Menu,Generic,Lighting
tribeca harrison chandelier,5,18,27.78,1.5,#ff4000,Product/Designer,Product,Lighting
menu harbour chair,15,128,11.72,4.52,#ff4000,Menu,Product,Chair
menu towel bar,12,69,17.39,3.68,#ff4000,Menu,Product,Accessories
jwda table lamp,13,239,5.44,4.02,#ff4000,Product/Designer,Product,Lighting
afternoon coat hanger,6,36,16.67,1.94,#ff4000,Product/Designer,Product,Hanger
menu plinth table,10,44,22.73,3.27,#ff4000,Menu,Product,Table
menu chairs,9,121,7.44,2.99,#ff4000,Menu,Product,Chair
menu tea kettle,3,15,20,1,#ff4000,Menu,Product,Accessories
menu lighting usa,9,50,18,3.06,#ff4000,Menu,Generic,Lighting
menu septembre coffee table,5,27,18.52,1.7,#ff4000,Menu,Product,Table
menu jwda lamp,14,88,15.91,4.77,#ff4000,Menu,Product,Lighting
menu dinnerware,10,20,50,3.45,#ff4000,Menu,Product,Dinnerware
jwda lamp,12,279,4.3,4.19,#ff4000,Product/Designer,Product,Lighting
menu shop,11,242,4.55,3.86,#ff4000,Menu,Generic,Shop
menu danish design,14,216,6.48,5.32,#ff4000,Menu,Generic,Shop
menu mirror,27,313,8.63,10.52,#ff4000,Menu,Product,Accessories
menu carrie lamp,4,91,4.4,1.57,#ff4000,Menu,Product,Lighting
co lounge chair menu,12,61,19.67,4.74,#ff4000,Menu,Product,Chair
tr bulb,7,117,5.98,2.79,#ff4000,Product/Designer,Product,Lighting
menu furniture nyc,5,46,10.87,2.07,#ff4000,Menu,Generic,Furniture
menu toilet brush,9,76,11.84,3.78,#ff4000,Menu,Product,Bath
cast sconce wall lamp,11,71,15.49,4.73,#ff4000,Product/Designer,Product,Lighting
menu chandelier,6,46,13.04,2.61,#ff4000,Menu,Product,Lighting
menu mirrors,6,20,30,2.65,#ff4000,Menu,Product,Accessories
menu world furniture,7,28,25,3.11,#ff4000,Menu,Generic,Furniture
godot coffee table,6,21,28.57,2.67,#ff4000,Product/Designer,Product,Table
menu hanger,5,84,5.95,2.24,#ff4000,Menu,Product,Hanger
menu androgyne side table,7,69,10.14,3.22,#ff4000,Menu,Product,Table
menu turning table,7,186,3.76,3.23,#ff4000,Menu,Product,Table
menu home decor,3,13,23.08,1.38,#ff4000,Menu,Generic,Shop
menu pedal bin,10,68,14.71,4.62,#ff4000,Menu,Product,Accessories
menu carrie led lamp,5,16,31.25,2.38,#ff4000,Menu,Product,Lighting
menu bar stools,5,37,13.51,2.38,#ff4000,Menu,Product,Stool
norm architects for menu,8,86,9.3,3.81,#ff4000,Menu,Designer,Designer
menu planter,9,83,10.84,4.31,#ff4000,Menu,Product,Gardening
menu afternoon stool,3,15,20,1.47,#ff4000,Menu,Product,Stool
androgyne side table,7,98,7.14,3.44,#ff4000,Product/Designer,Product,Table
menu grinders,6,65,9.23,2.95,#ff4000,Menu,Product,Accessories
jwda concrete lamp,11,233,4.72,5.57,#ff4000,Product/Designer,Product,Lighting
menu lounge chair,7,60,11.67,3.57,#ff4000,Menu,Product,Chair
menu cast sconce,5,15,33.33,2.6,#ff4000,Menu,Product,Accessories
yeh wall table,6,67,8.96,3.13,#ff4000,Product/Designer,Product,Table
tr bulb menu,5,77,6.49,2.65,#ff4000,Menu,Product,Lighting
menu decanter,9,141,6.38,4.85,#ff4000,Menu,Product,Accessories
menu socket occasional lamp,2,11,18.18,1.09,#ff4000,Menu,Product,Lighting
menu counter stool,4,15,26.67,2.2,#ff4000,Menu,Product,Stool
menu folded vase,9,93,9.68,4.97,#ff4000,Menu,Product,Accessories
menu nono table,7,67,10.45,3.93,#ff4000,Menu,Product,Table
menu usa furniture,4,6,66.67,2.33,#ff4000,Menu,Generic,Furniture
menu barstool,4,27,14.81,2.33,#ff4000,Menu,Product,Stool
menu bench,3,67,4.48,1.76,#ff4000,Menu,Product,Bench
carrie led lamp,5,242,2.07,2.98,#ff4000,Product/Designer,Product,Lighting
menu plinth low,4,51,7.84,2.41,#ff4000,Menu,Product,Accessories
menu knitting chair,10,74,13.51,6.23,#ff4000,Menu,Product,Chair
menu tr bulb suspension frame,6,36,16.67,3.75,#ff4000,Menu,Product,Lighting
menu coat rack,5,36,13.89,3.14,#ff4000,Menu,Product,Hanger
menu soap pump,10,91,10.99,6.3,#ff4000,Menu,Product,Bath
menu align daybed,7,29,24.14,4.41,#ff4000,Menu,Product,Daybed
eave modular sofa,6,62,9.68,3.81,#ff4000,Product/Designer,Product,Sofa
echasse bowl,8,106,7.55,5.22,#ff4000,Product/Designer,Product,Dinnerware
menu offset sofa,6,45,13.33,4.04,#ff4000,Menu,Product,Sofa
menu salt and pepper grinders,14,214,6.54,9.49,#ff4000,Menu,Product,Accessories
menu home,6,46,13.04,4.13,#ff4000,Menu,Generic,Shop
menu design furniture,4,78,5.13,2.78,#ff4000,Menu,Generic,Furniture
menu marble plinth,5,52,9.62,3.48,#ff4000,Menu,Product,Designer
tr bulb suspension frame,4,47,8.51,2.79,#ff4000,Product/Designer,Product,Lighting
pepe marble mirror,5,33,15.15,3.48,#ff4000,Product/Designer,Product,Accessories
co lounge chair,6,59,10.17,4.19,#ff4000,Product/Designer,Product,Chair
menu chair,10,304,3.29,7.02,#ff4000,Menu,Product,Chair
menu wire planter,7,62,11.29,4.92,#ff4000,Menu,Product,Gardening
menu troll vase,5,70,7.14,3.51,#ff4000,Menu,Product,Accessories
menu string lounge chair,2,14,14.29,1.43,#ff4000,Menu,Product,Chair
menu afteroom lounge chair,5,39,12.82,3.59,#ff4000,Menu,Product,Chair
menu tea pot,2,9,22.22,1.44,#ff4000,Menu,Product,Dinnerware
menudesign,5,138,3.62,3.62,#ff4000,Menu,Generic,Shop
menu bathroom accessories,3,30,10,2.2,#ff4000,Menu,Generic,Bath
menu wine breather,10,247,4.05,7.38,#ff4000,Menu,Product,Accessories
menu water bottle,3,37,8.11,2.22,#ff4000,Menu,Product,Accessories
menu snaregade table,5,33,15.15,3.7,#ff4000,Menu,Product,Table
menu carafe,6,74,8.11,4.45,#ff4000,Menu,Product,Accessories
co chair menu,7,93,7.53,5.23,#ff4000,Menu,Product,Chair
menu design outlet,3,12,25,2.25,#ff4000,Menu,Generic,Shop
eave modular sofa menu,2,8,25,1.5,#ff4000,Menu,Product,Sofa
menu water jug,6,84,7.14,4.52,#ff4000,Menu,Product,Accessories
menu cast sconce wall lamp,5,50,10,3.88,#ff4000,Menu,Product,Lighting
menu grinder set,5,72,6.94,3.92,#ff4000,Menu,Product,Accessories
new norm dinnerware,6,68,8.82,4.72,#ff4000,Product/Designer,Generic,Dinnerware
menu task pendant,5,57,8.77,3.95,#ff4000,Menu,Product,Lighting
menu bottle grinders,6,49,12.24,4.78,#ff4000,Menu,Product,Accessories
menu table lamp,6,160,3.75,4.96,#ff4000,Menu,Product,Lighting
menu pendant,3,33,9.09,2.52,#ff4000,Menu,Product,Lighting
menu jewelry box,4,14,28.57,3.36,#ff4000,Menu,Product,Accessories
menu darkly mirror,5,39,12.82,4.21,#ff4000,Menu,Product,Accessories
menu dining chairs,4,18,22.22,3.39,#ff4000,Menu,Product,Chair
menu afteroom,8,130,6.15,6.86,#ff4000,Menu,Product,Designer
menu dancing pendant,3,71,4.23,2.62,#ff4000,Menu,Product,Lighting
menu furniture sofa,2,4,50,1.75,#ff4000,Menu,Product,Sofa
menu portable lamp,2,20,10,1.75,#ff4000,Menu,Product,Lighting
menu storage,2,37,5.41,1.78,#ff4000,Menu,Generic,Fixtures
menu plinth coffee table,2,14,14.29,1.79,#ff4000,Menu,Product,Table
menu snaregade,4,76,5.26,3.63,#ff4000,Menu,Product,Designer
menu teapot,7,149,4.7,6.43,#ff4000,Menu,Product,Dinnerware
menu design,16,1327,1.21,14.72,#ff4000,Menu,Generic,Shop
bottle grinder,8,427,1.87,7.38,#ff4000,Product/Designer,Product,Accessories
menu afteroom counter chair,4,28,14.29,3.71,#ff4000,Menu,Product,Chair
menu wine,3,28,10.71,2.89,#ff4000,Menu,Generic,Accessories
menu afteroom bench,5,40,12.5,4.83,#ff4000,Menu,Product,Bench
androgyne table,2,17,11.76,1.94,#ff4000,Product/Designer,Product,Table
menu harbor chair,4,21,19.05,3.9,#ff4000,Menu,Product,Chair
jwda floor lamp,5,70,7.14,4.9,#ff4000,Product/Designer,Product,Lighting
menu kettle teapot,4,38,10.53,3.92,#ff4000,Menu,Product,Dinnerware
wire base menu,1,1,100,1,#ff4000,Menu,Product,Gardening
menu metallic lamp,1,1,100,1,#ff4000,Menu,Product,Lighting
menu salt grinder,1,1,100,1,#ff4000,Menu,Product,Accessories
menu bath toothbrush holder,1,2,50,1,#ff4000,Menu,Product,Bath
menu godot chair,1,2,50,1,#ff4000,Menu,Product,Chair
menu godot coffee table,1,2,50,1,#ff4000,Menu,Product,Table
menu bath soap pump,1,3,33.33,1,#ff4000,Menu,Product,Bath
menu cast tea heater,1,3,33.33,1,#ff4000,Menu,Product,Dinnerware
menu slate plate,1,3,33.33,1,#ff4000,Menu,Product,Dinnerware
menu circular lamp,3,21,14.29,3,#ff4000,Menu,Product,Lighting
cast pendant,2,41,4.88,2,#ff4000,Product/Designer,Product,Lighting
knitting chair,5,208,2.4,5.05,#3dff47,Organic,Product,Chair
afteroom chair,3,122,2.46,3.03,#ff4000,Product/Designer,Product,Chair
menu plinth tall,4,22,18.18,4.05,#ff4000,Menu,Product,Designer
snaregade table,4,70,5.71,4.07,#ff4000,Product/Designer,Product,Table
menu winebreather carafe,6,129,4.65,6.22,#ff4000,Menu,Product,Accessories
afteroom stool,2,62,3.23,2.08,#ff4000,Product/Designer,Product,Stool
pov candle holder,2,70,2.86,2.09,#ff4000,Product/Designer,Product,Accessories
plinth menu,3,47,6.38,3.15,#ff4000,Menu,Designer,Designer
menu concrete lamp,6,48,12.5,6.33,#ff4000,Menu,Product,Lighting
tribeca franklin chandelier,5,38,13.16,5.29,#ff4000,Product/Designer,Product,Lighting
menu accessories,5,75,6.67,5.29,#ff4000,Menu,Generic,Accessories
cast sconce wall lamp menu,2,8,25,2.13,#ff4000,Menu,Product,Lighting
menu couch,2,6,33.33,2.17,#ff4000,Menu,Product,Sofa
menu cph,2,6,33.33,2.17,#ff4000,Menu,Product,Designer
menu candle holder,4,139,2.88,4.36,#ff4000,Menu,Product,Accessories
darkly mirror,3,23,13.04,3.3,#ff4000,Product/Designer,Product,Accessories
menu wine decanter,5,77,6.49,5.69,#ff4000,Menu,Product,Accessories
menu outdoor furniture,3,25,12,3.44,#ff4000,Menu,Generic,Furniture
menu offset,4,28,14.29,4.61,#ff4000,Menu,Product,Accessories
tailor sofa menu,3,14,21.43,3.5,#ff4000,Menu,Product,Sofa
menu products,6,107,5.61,7.03,#ff4000,Menu,Generic,Shop
hanger menu,2,32,6.25,2.34,#ff4000,Menu,Designer,Hanger
menu grinder,8,158,5.06,9.44,#ff4000,Menu,Product,Accessories
harbour chair,3,64,4.69,3.56,#ff4000,Product/Designer,Product,Chair
bank pendant,3,53,5.66,3.57,#ff4000,Product/Designer,Product,Lighting
menu eave sofa,2,23,8.7,2.39,#ff4000,Menu,Product,Sofa
pov family,4,119,3.36,4.8,#ff4000,Product/Designer,Product,Accessories
menu wine breather carafe,5,85,5.88,6.02,#ff4000,Menu,Product,Accessories
menu salt and pepper,3,91,3.3,3.62,#ff4000,Menu,Product,Accessories
menu norm,5,133,3.76,6.03,#ff4000,Menu,Designer,Designer
tearoom lounge chair,3,28,10.71,3.64,#ff4000,Product/Designer,Product,Chair
darkly mirror menu,3,26,11.54,3.65,#ff4000,Menu,Product,Accessories
menu pendant light,3,56,5.36,3.66,#ff4000,Menu,Product,Lighting
menu plinth cubic,2,9,22.22,2.44,#ff4000,Menu,Product,Accessories
menu shelf,3,57,5.26,3.68,#ff4000,Menu,Product,Fixtures
menu afteroom bar chair,2,23,8.7,2.48,#ff4000,Menu,Product,Chair
menu afternoon coat hanger,2,6,33.33,2.5,#ff4000,Menu,Product,Hanger
menu androgyne table,2,16,12.5,2.5,#ff4000,Menu,Product,Table
norm architects menu,5,67,7.46,6.28,#ff4000,Menu,Designer,Designer
m.e.n.u store,1,46,2.17,1.26,#ff4000,Menu,Generic,Shop
menu daybed,4,58,6.9,5.1,#ff4000,Menu,Product,Daybed
staple wall lamp,3,25,12,3.84,#ff4000,Product/Designer,Product,Lighting
menu norm oval mirror,3,14,21.43,3.86,#ff4000,Menu,Product,Accessories
www.menu.as,4,104,3.85,5.16,#ff4000,Menu,Generic,Shop
menu shelving,3,16,18.75,3.88,#ff4000,Menu,Generic,Fixtures
menu cast pendant shape 4,2,5,40,2.6,#ff4000,Menu,Product,Lighting
menu led lamp,2,15,13.33,2.6,#ff4000,Menu,Product,Lighting
menu wall hooks,2,13,15.38,2.62,#ff4000,Menu,Product,Fixtures
menu homewares,5,118,4.24,6.58,#ff4000,Menu,Generic,Accessories
menu tea room club chair,3,20,15,3.95,#ff4000,Menu,Product,Chair
tr bulb suspension lamp,3,27,11.11,3.96,#ff4000,Product/Designer,Product,Lighting
menu toilet roll holder,4,61,6.56,5.33,#ff4000,Menu,Product,Bath
monuments magazine holder,1,3,33.33,1.33,#ff4000,Product/Designer,Product,Accessories
menu planters,1,9,11.11,1.33,#ff4000,Menu,Product,Gardening
circular lamp menu,2,16,12.5,2.69,#ff4000,Menu,Product,Lighting
menu pepper grinder,6,34,17.65,8.12,#ff4000,Menu,Product,Accessories
pov oval candle holder,1,17,5.88,1.35,#ff4000,Product/Designer,Product,Accessories
menu tribeca warren,3,18,16.67,4.11,#ff4000,Menu,Designer,Designer
menu echasse vase,5,139,3.6,6.88,#ff4000,Menu,Product,Accessories
wine breather,6,582,1.03,8.26,#ff4000,Product/Designer,Product,Accessories
norm bath,3,26,11.54,4.19,#ff4000,Product/Designer,Designer,Bath
pov circle vase,2,15,13.33,2.8,#ff4000,Product/Designer,Product,Accessories
menu wire bowl,1,10,10,1.4,#ff4000,Menu,Product,Gardening
menu tribeca,4,101,3.96,5.64,#ff4000,Menu,Designer,Designer
menu tr bulb pendant,2,45,4.44,2.82,#ff4000,Menu,Product,Lighting
menu bollard lamp,4,54,7.41,5.65,#ff4000,Menu,Product,Lighting
menu synnes chair,3,41,7.32,4.27,#ff4000,Menu,Product,Chair
menu tearoom club chair,4,26,15.38,5.69,#ff4000,Menu,Product,Chair
menu task,2,20,10,2.85,#ff4000,Menu,Product,Designer
menu wire base,6,66,9.09,8.68,#ff4000,Menu,Product,Gardening
store menu design,1,22,4.55,1.45,#ff4000,Menu,Generic,Shop
menu glass teapot,4,21,19.05,5.86,#ff4000,Menu,Product,Dinnerware
afteroom bar chair,2,49,4.08,2.96,#ff4000,Product/Designer,Product,Chair
cool breather,2,4,50,3,#ff4000,Product/Designer,Product,Accessories
menu septembre chair,1,4,25,1.5,#ff4000,Menu,Product,Chair
menu nono,2,15,13.33,3,#ff4000,Menu,Product,Designer
store menu,4,91,4.4,6,#ff4000,Menu,Generic,Shop
menu stem vase,1,48,2.08,1.5,#ff4000,Menu,Product,Accessories
menu towel ladder,3,113,2.65,4.6,#ff4000,Menu,Product,Accessories
menu gravel rug,2,31,6.45,3.1,#ff4000,Menu,Product,Flooring
menu afteroom counter stool,2,36,5.56,3.11,#ff4000,Menu,Product,Stool
menu copenhagen tray table,3,71,4.23,4.69,#ff4000,Menu,Product,Table
wire base,2,71,2.82,3.14,#ff4000,Product/Designer,Product,Gardening
beer foamer,1,14,7.14,1.57,#ff4000,Product/Designer,Product,Accessories
menu afteroom dining chair,1,14,7.14,1.57,#ff4000,Menu,Product,Chair
menu yeh wall table,2,34,5.88,3.15,#ff4000,Menu,Product,Table
menu bath accessories,5,18,27.78,7.94,#ff4000,Menu,Generic,Bath
nono table,3,34,8.82,4.79,#ff4000,Product/Designer,Product,Table
wall cage shelf,1,23,4.35,1.61,#3dff47,Organic,Product,Fixtures
menu willmann vase,2,27,7.41,3.22,#ff4000,Menu,Product,Accessories
menu side table,2,87,2.3,3.23,#ff4000,Menu,Product,Table
tall plinth,1,13,7.69,1.62,#ff4000,Product/Designer,Product,Designer
septembre coffee table,3,47,6.38,4.87,#ff4000,Product/Designer,Product,Table
menu wine carafe,1,8,12.5,1.63,#ff4000,Menu,Product,Accessories
menu world lamp,3,26,11.54,4.88,#ff4000,Menu,Product,Lighting
menu phare led lamp,2,27,7.41,3.26,#ff4000,Menu,Product,Lighting
menu vase,10,347,2.88,16.38,#ff4000,Menu,Product,Accessories
menu peek floor lamp,2,27,7.41,3.3,#ff4000,Menu,Product,Lighting
offset sofa menu,2,16,12.5,3.31,#ff4000,Menu,Product,Sofa
menu denmark,3,114,2.63,4.97,#ff4000,Menu,Generic,Shop
menu lamps,5,102,4.9,8.32,#ff4000,Menu,Generic,Lighting
menu furniture chairs,1,3,33.33,1.67,#ff4000,Menu,Generic,Chair
menu salt and pepper shakers,1,6,16.67,1.67,#ff4000,Menu,Product,Accessories
menu home goods,4,15,26.67,6.67,#ff4000,Menu,Generic,Shop
menu wall lamp,2,24,8.33,3.33,#ff4000,Menu,Product,Lighting
menu androgyne,2,41,4.88,3.34,#ff4000,Menu,Product,Designer
menu echasse bowl,3,40,7.5,5.03,#ff4000,Menu,Product,Dinnerware
gridy me mirror,3,33,9.09,5.06,#ff4000,Product/Designer,Product,Accessories
norm architects chair,3,32,9.38,5.06,#ff4000,Product/Designer,Product,Chair
shop menu,1,117,0.85,1.7,#ff4000,Menu,Generic,Shop
menu sweeper & funnel,2,9,22.22,3.44,#ff4000,Menu,Product,Accessories
peek floor lamp,2,56,3.57,3.45,#ff4000,Product/Designer,Product,Lighting
shop menu design,1,47,2.13,1.72,#ff4000,Menu,Generic,Shop
menu lights,2,61,3.28,3.48,#ff4000,Menu,Product,Lighting
tailor lounge sofa,2,21,9.52,3.48,#ff4000,Product/Designer,Product,Sofa
wine breather by norm,3,64,4.69,5.23,#ff4000,Product/Designer,Product,Accessories
godot sofa,2,28,7.14,3.54,#ff4000,Product/Designer,Product,Sofa
menu wiper,3,23,13.04,5.3,#ff4000,Menu,Product,Accessories
menu pepe marble mirror,1,9,11.11,1.78,#ff4000,Menu,Product,Accessories
afteroom bench,2,34,5.88,3.56,#ff4000,Product/Designer,Product,Bench
menu decanting pourer,2,14,14.29,3.57,#ff4000,Menu,Product,Accessories
menu bar stool,1,60,1.67,1.82,#ff4000,Menu,Product,Stool
menu outlet,3,11,27.27,5.45,#ff4000,Menu,Generic,Shop
menu world design,2,24,8.33,3.67,#ff4000,Menu,Generic,Shop
"tr bulb, suspension frame",1,6,16.67,1.83,#ff4000,Product/Designer,Product,Lighting
menu floor mirror,4,24,16.67,7.42,#ff4000,Menu,Product,Accessories
peek table lamp,2,13,15.38,3.77,#ff4000,Product/Designer,Product,Lighting
jwda menu,1,11,9.09,1.91,#ff4000,Menu,Product,Designer
menu bottle grinder steel,3,12,25,5.75,#ff4000,Menu,Product,Accessories
menu copenhagen,3,71,4.23,5.77,#ff4000,Menu,Generic,Shop
synnes chair,1,19,5.26,1.95,#ff4000,Product/Designer,Product,Chair
norm towel ladder,2,25,8,3.92,#ff4000,Product/Designer,Product,Accessories
menu harrison chandelier,1,27,3.7,1.96,#ff4000,Menu,Product,Lighting
menu kitchenware,3,55,5.45,5.89,#ff4000,Menu,Generic,Accessories
menu floor lamp,2,34,5.88,3.94,#ff4000,Menu,Product,Lighting
menu wire bin,3,25,12,5.96,#ff4000,Menu,Product,Gardening
menu echasse,3,45,6.67,5.98,#ff4000,Menu,Product,Designer
tribeca leonard chandelier,1,5,20,2,#ff4000,Product/Designer,Product,Lighting
menu desk,1,9,11.11,2,#ff4000,Menu,Product,Designer
menu tribeca light,1,11,9.09,2,#ff4000,Menu,Product,Lighting
menu tr bulb table lamp,2,16,12.5,4.06,#ff4000,Menu,Product,Lighting
menu.as,2,327,0.61,4.06,#ff4000,Menu,Generic,Shop
menu jwda,5,118,4.24,10.2,#ff4000,Menu,Product,Designer
menu chambers chandelier,2,32,6.25,4.09,#ff4000,Menu,Product,Lighting
menu harbour lounge chair,3,23,13.04,6.17,#ff4000,Menu,Product,Chair
menu design shop outlet,1,15,6.67,2.07,#ff4000,Menu,Generic,Shop
align daybed,1,27,3.7,2.07,#ff4000,Product/Designer,Product,Daybed
cyclades vase menu,2,15,13.33,4.2,#ff4000,Menu,Product,Accessories
afteroom,3,242,1.24,6.35,#ff4000,Product/Designer,Designer,Designer
circle vase,1,145,0.69,2.14,#3dff47,Organic,Product,Accessories
menu plates,4,23,17.39,8.74,#ff4000,Menu,Generic,Dinnerware
menu afteroom coat hanger small,2,16,12.5,4.38,#ff4000,Menu,Product,Hanger
tr bulb pendant menu,1,5,20,2.2,#ff4000,Menu,Product,Lighting
norm architects mirror,1,15,6.67,2.2,#ff4000,Product/Designer,Product,Accessories
menu design sale,2,22,9.09,4.45,#ff4000,Menu,Generic,Shop
menu x norm,3,80,3.75,6.69,#ff4000,Menu,Designer,Designer
